filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,warped_image,raw_text,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
43_15.mp4,Mea PREMIJA CLUB с орехан ст. (Pоссия) 225,"305,99",,"244,99",,-19%,,,,Mea PREMIJA CLUB с орехан ст. (Pоссия) 225,red,,14789,1858,1455,2050,1635,debug_output_ocr/crops/crop_14789_1858_1455.png,Mea PREMIJA CLUB с орехан ст. (Pоссия) 225 305 -19% 244 99,,,,,,,,,,,
43_15.mp4,Meg PREMIU CLUB с ореха ст (Pоссия) 225r,"305,99",,"244,99",,-19%,,,,Meg PREMIU CLUB с ореха ст (Pоссия) 225r,red,,14589,1832,1455,2050,1635,debug_output_ocr/crops/crop_14589_1832_1455.png,"Meg PREMIU CLUB с ореха ст (Pоссия) 225r 305"" (-19% 244 99",,,,,,,,,,,
43_15.mp4,Nea PREMIUN CLUB c opexa ст. (Росскя) 225г,"305,99",,"244,99",,-19%,,,,Nea PREMIUN CLUB c opexa ст. (Росскя) 225г,red,,11179,1832,1456,2087,1634,debug_output_ocr/crops/crop_11179_1832_1456.png,Nea PREMIUN CLUB c opexa ст. (Росскя) 225г 305 -19% 244,,,,,,,,,,,
43_15.mp4,Mea PREVIUM CLUB сорекаu ст. (Россия) 225,"305,99",,"244,99",,-19%,,,,Mea PREVIUM CLUB,red,,11029,1830,1455,2088,1636,debug_output_ocr/crops/crop_11029_1830_1455.png,Mea PREVIUM CLUB сорекаu ст. (Россия) 225 305 -19% 244,,,,,,,,,,,
43_15.mp4,Meд PREMIUA CLUB c opexа ст (Pocсия) 225r,"305,99",,"244,99",,-19%,,,,Meд PREMIUA CLUB c opexа,red,,14037,1836,1455,2047,1633,debug_output_ocr/crops/crop_14037_1836_1455.png,Meд PREMIUA CLUB c opexа ст (Pocсия) 225r 305 -19% 244 99,,,,,,,,,,,
43_15.mp4,Mea PREMIUM CLUB сорекаи ст. (Росскя) 225,"305,99",,"244,99",,-19%,,,,Mea PREMIUM CLUB сорекаи,red,,10177,1818,1461,2075,1636,debug_output_ocr/crops/crop_10177_1818_1461.png,Mea PREMIUM CLUB сорекаи ст. (Росскя) 225 305 -19% 244,,,,,,,,,,,
43_15.mp4,PRIMIUM Neg PREMIA CLUB c cpexau ст (Pосеин) 225,,,"244,99",,-19%,,,,PRIMIUM MËD Neg PREMIA,red,,12884,1827,1230,2033,1642,debug_output_ocr/crops/crop_12884_1827_1230.png,PRIMIUM MËD Neg PREMIA CLUB c cpexau ст (Pосеин) 225 305 -19% 244 99,,,,,,,,,,,
43_15.mp4,Десертфруктош. ZUEGG АЖепьснн 3ucтрa Германия,"259,99",,,,-25%,,,,Десертфруктош. ZUEGG АЖепьснн,red,,12583,17,1374,358,1683,debug_output_ocr/crops/crop_12583_17_1374.png,Десертфруктош. ZUEGG АЖепьснн 3ucтрa Германия 130r 25% 259 99,,,,,,,,,,,
43_15.mp4,Mед PREMIUM CLUB c фундуксц (Россия) 260г,"299,99",,,,-13%,,,,Mед PREMIUM CLUB c фундуксц,red,,12884,1051,1408,1360,1697,debug_output_ocr/crops/crop_12884_1051_1408.png,Mед PREMIUM CLUB c фундуксц (Россия) 260г -13% 299 99 ,,,,,,,,,,,
43_15.mp4,Конфитюр ZUEGG Ктубника эестра (Германия) 320г,,,"259,99",,-25%,,,,Конфитюр ZUEGG Ктубника эестра,red,,12884,37,2480,258,2717,debug_output_ocr/crops/crop_12884_37_2480.png,Конфитюр ZUEGG Ктубника эестра (Германия) 320г (-25% 259 09,,,,,,,,,,,
